timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1622280094465,126,Step-1: Session Creation,200,,Positive Cases 1-1,text,true,,977,299,1,1,http://localhost:5050/rest/auth/1/session,120,0,20
1622280094599,244,Step-2: Create project,201,,Positive Cases 1-1,text,true,,880,542,1,1,http://localhost:5050/rest/api/2/project,244,0,0
1622280094902,51,Finding the Issue Type Ids,200,,Positive Cases 1-1,text,true,,2106,216,1,1,http://localhost:5050/rest/api/2/issuetype,51,0,0
1622280094958,137,Step-3: Create First Issue,201,,Positive Cases 1-1,text,true,,824,587,1,1,http://localhost:5050/rest/api/2/issue,137,0,0
1622280095099,209,Step-4: Add Attachment,200,,Positive Cases 1-1,text,true,,1616,34861,1,1,http://localhost:5050/rest/api/2/issue/10374/attachments,208,0,0
1622280095312,126,Step-5: Create Second Issue,201,,Positive Cases 1-1,text,true,,825,568,1,1,http://localhost:5050/rest/api/2/issue,126,0,0
1622280095441,254,Step-6: Delete the issue created on steps 5,204,,Positive Cases 1-1,text,true,,676,241,1,1,http://localhost:5050/rest/api/2/issue/10375,0,0,0
1622280095698,69,Step-7: Show the details of the issue created on steps 3,200,,Positive Cases 1-1,text,true,,8703,222,1,1,http://localhost:5050/rest/api/2/issue/10374,69,0,2
1622280095771,62,Step-8: Search for issues in the Project,200,,Positive Cases 1-1,text,true,,7695,228,1,1,http://localhost:5050/rest/api/2/search?jql=project=PX,62,0,0
1622280093435,1278,Transaction Controller-Positive,200,"Number of samples in transaction : 12, number of failing samples : 0",Positive Cases 1-1,,true,,24302,37764,1,1,null,1017,1121,22
1622280095846,43,Session Creation with invalid username or password,401,,Negative Cases 2-1,text,false,Provided username and password is invalid,886,295,1,1,http://localhost:5050/rest/auth/1/session,43,0,1
1622280095894,53,Get All Project List,200,,Negative Cases 2-1,text,true,,1298,214,1,1,http://localhost:5050/rest/api/2/project,53,0,0
1622280095950,43,Create project with an already existing Project Key and Name,400,,Negative Cases 2-1,text,false,You have been trying to create a Project with a name which already exists,860,542,1,1,http://localhost:5050/rest/api/2/project,42,0,0
1622280095995,44,Get All Project List,200,,Negative Cases 2-1,text,true,,1298,214,1,1,http://localhost:5050/rest/api/2/project,44,0,1
1622280096043,42,Get All Project List,200,,Negative Cases 2-1,text,true,,1298,214,1,1,http://localhost:5050/rest/api/2/project,42,0,0
1622280096090,252,Create Issue,201,,Negative Cases 2-1,text,true,,825,595,1,1,http://localhost:5050/rest/api/2/issue,252,0,0
1622280096347,231,Delete the issue,204,,Negative Cases 2-1,text,true,,676,241,1,1,http://localhost:5050/rest/api/2/issue/10376,0,0,0
1622280096580,47,Add Attachment to an already deleted issue,404,,Negative Cases 2-1,text,false,Issue does not exists,797,34885,1,1,http://localhost:5050/rest/api/2/issue/10376/attachments,47,0,2
1622280096629,42,Get All Project List,200,,Negative Cases 2-1,text,true,,1297,214,1,1,http://localhost:5050/rest/api/2/project,42,0,0
1622280096674,239,Create Issue,201,,Negative Cases 2-1,text,true,,825,595,1,1,http://localhost:5050/rest/api/2/issue,239,0,0
1622280096916,80,Upload attachment to an issue beyond the size limit,404,,Negative Cases 2-1,text,false,The field file exceeds its maximum permitted size.,811,3113430,1,1,http://localhost:5050/rest/api/2/issue/10377/attachments,80,0,0
1622280095842,1116,Transaction Controller-Negative,,"Number of samples in transaction : 13, number of failing samples : 4",Negative Cases 2-1,,false,,10871,3151439,1,1,null,884,40,4
